sim,obs
45.83,84.66737131008
44.17,81.26934971904001
43.35,77.58815966208
50.39,76.4554857984
55.11,75.88914886656
56.47,72.2079588096
55.26,66.5445894912
54.22,64.84557869568
53,66.82775795712
52.44,64.84557869568
54.08,58.0495355136
56.96,52.386166195200005
58.34,49.554481536000004
57,49.27131307008
56.97,49.837650001920004
56.33,48.42180767232
54.95,45.3069545472
53.19,42.19210142208
50.89,40.20992216064
47.96,39.36041676288
45.05,39.36041676288
43.56,39.36041676288
62.08,40.20992216064
71.19,49.837650001920004
72.02,62.01389403648
69.72,75.88914886656
67.23,79.85350738944
64.34,82.40202358272
61.52,84.38420284416
59.17,80.98618125312001
55.71,72.2079588096
53.59,63.14656790016
51.79,58.0495355136
49.97,54.65151392256
49.45,52.10299772928
47.82,49.837650001920004
45.16,46.722796876800004
42.55,44.74061761536
38.95,42.475269888
41.65,40.493090626560004
42.16,41.90893295616
41.94,44.45744914944
40.36,48.70497613824
38.13,51.25349233152
34.87,49.837650001920004
31.92,46.15645994496
33.75,41.62576449024
36.8,39.36041676288
38.79,38.79407983104
38.25,39.07724829696
36.57,39.6435852288
33.09,39.6435852288
40.09,39.6435852288
53.37,40.493090626560004
62.54,43.32477528576
113.3,50.9703238656
125,84.10103437824
121.5,122.89511420928001
116.7,161.4060255744
112,190.00604063232
108,206.7129801216
105,195.95257841664
101.7,173.01593267712
100.5,154.3268139264
98.43,141.01789602816
95.78,131.10699972096
92.44,123.74461960704001
88.45,114.6832286976
80.63,102.22381619712
72.54,89.48123523072
67.64,77.58815966208
68.35,67.9604318208
66.45,64.56241022976
62.11,64.27924176384
56.89,65.41191562752
50.22,64.27924176384
46.06,61.447557104640005
49.9,60.03171477504
52.85,60.59805170688
53.09,61.16438863872
65.96,63.14656790016
72.88,70.79211648
72.83,79.2871704576
67.82,88.63172983296
60.62,95.42777301504
56.03,101.65747926528
53.3,104.20599545856
49.32,99.39213153792001
45.82,92.59608835584
42.47,86.64955057152
39.07,82.68519204864
35.67,80.41984432128
31.83,76.4554857984
30.37,68.52676875264
28.51,59.74854630912
27.18,52.669334661120004
27.23,46.722796876800004
26.39,42.19210142208
24.62,39.07724829696
22.16,36.52873210368
21.55,34.26338437632
20.96,32.28120511488
26.75,32.28120511488
28.57,44.45744914944
33.88,48.42180767232
37.93,56.91686164992
43.93,65.41191562752
49.57,71.35845341184
60.8,71.92479034368
67.18,73.6238011392
66.9,75.88914886656
60.4,79.2871704576
54.29,85.80004517376
47.24,91.18024602624
50.66,92.029751424
50.88,89.48123523072
49.45,85.80004517376
50.43,84.10103437824
51.3,89.48123523072
50.1,95.71094148096
47,94.01193068544
42.93,83.25152898048
38.84,67.67726335488
35.37,57.48319858176
32.38,50.9703238656
29.94,44.74061761536
27.37,38.79407983104
24.6,35.11288977408
22.65,31.43169971712
20.81,27.722192813568
19.25,23.78615113728
18.34,20.274862159872
17.6,17.83961335296
16.12,16.14060255744
15.29,14.8663444608
14.09,14.01683906304
12.98,13.139016818688
12.54,12.31782826752
11.52,11.666540795904
10.63,11.071887017472001
9.462,10.420599545856
8.985,9.797628920832
7.597,9.316242528768
6.492,8.863172983296
5.825,8.183568665088
6.236,7.4473306536960004
7.284,7.22079588096
7.907,7.532281193472
7.907,8.041984432128
7.2,8.693271903744
6.424,8.834856136704
8.258,8.296836051456001
12.23,8.35346974464
15.97,9.2029751424
16.66,10.590500625408
15.6,12.431095653888
13.23,13.931888523264
10.88,14.44159176192
8.953,14.356641222144
10.31,14.328324375552
10.86,16.027335171072
10.36,19.935060000768
9.616,21.152684404224
8.683,19.170505142784002
7.498,18.26436605184
6.36,16.70693948928
5.283,14.951295000576
4.496,13.167333665280001
3.988,11.496639716352
3.62,10.080797386752
3.495,8.891489829888
3.129,8.07030127872
3.098,7.532281193472
3.047,6.994261108224
2.746,6.767726335488001
2.458,6.342973636608
2.442,6.031488324096
2.387,6.541191562752
2.473,6.342973636608
2.736,5.691686164992
3.815,5.295250312704
4.898,5.720003011584001
10.97,6.626142102528
18.46,7.249112727552
23.06,8.013667585536
23.78,8.749905596928
21.05,10.222381619712
17.68,12.261194574336
14.69,14.215056989184001
11.96,15.376047699456
9.727,15.234463466496
7.853,14.44159176192
6.391,13.082383125504
5.076,10.986936477696
4.584,8.891489829888
3.988,7.2774295741440005
3.516,6.3146567900160004
3.399,5.606735625216
3.002,4.898814460416
3.196,4.445744914944
2.936,4.785547074048
2.796,4.8421807672320005
2.274,3.9926753694720003
1.998,3.794457443328
2.398,3.794457443328
2.502,3.6811900569600002
2.354,3.624556363776
1.913,3.454655284224
1.639,3.5962395171840003
1.459,3.879407983104
1.475,3.794457443328
1.861,3.709506903552
2.31,3.652873210368
2.434,3.482972130816
2.949,3.482972130816
2.663,3.567922670592
2.349,3.9077248296960003
4.43,4.219210142208
6.272,4.38911122176
6.833,5.323567159296
6.529,6.824360028672
6.291,5.861587244544
6.172,6.201389403648
5.805,6.852676875264001
5.543,6.682775795712
4.675,5.94653778432
3.703,5.351884005888
